C	AP	S	thetha	PPS	CPS	d
1	10	1	0.954	4.379	0	0.118
20	10	1	19.734	121.418	0	0.331
40	10	1	37.861	190.247	0	0.481
60	10	1	58.425	204.159	0	1.101
80	10	1	79.77	375.465	0	3.485
100	10	1	99.489	437.844	0	6.851
120	10	1	118.95	576.646	0	13.641
140	10	1	133.395	754.453	0	27.648
180	10	1	176.56	844.271	0	86.208
160	10	1	157.245	850.06	0	45.775
200	10	1	190.746	1011.848	0	291.111
220	10	1	206.263	1179.998	0	497.638
240	10	1	239.748	1062.97	0	749.091
260	10	1	249.972	1263.779	0	848.333
280	10	1	268.475	1492.901	0	905.834
300	10	1	280.743	1562.151	0	943.208
320	10	1	285.66	1451.826	0.001	948.949
340	10	1	265.671	1420.357	0	985.241
360	10	1	257.639	1435.752	0	995.524
380	10	1	251.656	1475.221	0	995.199
400	10	1	238.837	1381.869	0	1002.906
420	10	1	226.023	1332.61	0	1024.69
440	10	1	210.734	1333.966	0	1037.571
460	10	1	194.523	1269.844	0	1013.736
480	10	1	199.69	1187.899	0	1038.642
500	10	1	186.065	1433.255	0	1019.896
520	10	1	179.982	1335.132	0	1003.055
560	10	1	161.228	1301.896	0	1002.646
540	10	1	170.962	1231.112	0	1021.15
580	10	1	156.353	1116.653	0	1011.462
600	10	1	155.985	1185.585	0	1011.617
620	10	1	146.743	1270.22	0	1011.916
640	10	1	145.668	1244.276	0	998.745
660	10	1	138.798	1203.118	0	1016.88
680	10	1	136.625	1311.332	0	1003.02
700	10	1	132.164	1218.779	0	1000.954
720	10	1	127.82	1476.819	0	992.265
740	10	1	122.247	1174.091	0	1003.082
760	10	1	123.827	1296.654	0	1019.321
780	10	1	121.937	1319.594	0	1026.942
800	10	1	112.742	1211.776	0	1009.633
820	10	1	116.957	1337.828	0	980.294
840	10	1	106.525	1157.828	0	969.315
1000	10	1	90.456	1305.186	0	1017.897
860	10	1	107.082	1411.2	0	1013.407
880	10	1	102.164	1242.148	0	986.319
900	10	1	103.287	1403.821	0	989.342
920	10	1	98.059	1417.31	0	1014.376
940	10	1	98.842	1339.455	0	1000
960	10	1	95.9	1518.14	0	1007.159
980	10	1	96.963	1385.916	0	985.745
