C	AP	S	thetha	PPS	CPS	d
1	1	1	0.943	0	0	0.164
20	1	1	19.656	121.847	0	0.307
40	1	1	37.791	200.37	0.001	0.66
60	1	1	56.447	308.063	0.016	1.087
80	1	1	79.502	392.983	0.17	2.894
100	1	1	98.866	539.276	0.871	5.232
120	1	1	111.3	658.594	0.988	9.495
140	1	1	118.156	586.092	0.999	13.839
160	1	1	129.24	791.792	1	29.003
180	1	1	133.939	728.338	1	30.512
200	1	1	133.585	706.83	0.992	41.248
220	1	1	146.443	769.809	1	42.526
240	1	1	150.754	794.134	0.996	53.159
260	1	1	157.844	950.241	0.999	68.589
280	1	1	153.511	933.054	1	66.02
300	1	1	165.437	981.702	1	64.524
320	1	1	173.371	987.742	0.987	88.789
340	1	1	174.394	1024.603	0.999	94.435
360	1	1	172.131	1154.25	0.995	131.878
380	1	1	183.883	943.936	1	193.471
400	1	1	184.969	1145.963	1	193.471
420	1	1	186.898	1157.995	1	211.796
440	1	1	189.828	1181.243	0.986	175.932
460	1	1	199.839	1346	0.996	331.291
480	1	1	203.333	1404.948	0.996	331.291
500	1	1	193.033	1375.209	1	321.016
520	1	1	206.43	1319.965	1	334.437
540	1	1	211.448	1399.715	1	480.21
560	1	1	204.182	1302.989	1	477.518
580	1	1	217.08	1627.332	1	563.326
600	1	1	206.732	1372.687	1	605.723
620	1	1	220.216	1314.058	1	697.209
640	1	1	221.821	1360.037	1	602.113
660	1	1	214.733	1635.937	1	611.954
680	1	1	219.375	1557.944	1	702.335
700	1	1	231.574	1648.185	1	717.327
720	1	1	236.663	1664.315	1	818.14
740	1	1	223.639	1656.161	1	809.041
760	1	1	241.19	1894.144	1	802.286
780	1	1	241.034	1885.008	0.996	711.666
800	1	1	229.42	1752.292	1	862.01
820	1	1	234.415	1688.597	0.983	830.725
840	1	1	245.579	1825.727	0.995	847.843
1000	1	1	254.959	2043.828	0.987	924.519
860	1	1	251.725	1857.84	0.996	866.493
880	1	1	242.164	1947.311	0.982	898.372
900	1	1	254.639	1943.957	0.997	842.366
920	1	1	255.573	2120.284	1	944.159
940	1	1	244.904	2054.047	1	935.509
960	1	1	249.68	1947.297	1	896.97
980	1	1	250.413	2191.486	1	938.74
