C	AP	S	thetha	PPS	CPS	d
1	1	1	0.949	4.379	0	0.137
500	1	1	193	1273	1	385
250	1	1	155	893	1	54
750	1	1	227	1687	0.99	766
1000	1	1	263	1959	0.98	919.88
250	5	1	233	1186	0	852
1	5	1	0.96	6.495	0	0.172
500	5	1	183	1323	0	1004
750	5	1	123	1066	0	1004
1000	5	1	93	1368	0	983.6
1	10	1	0.948	15.009	0	0.103
250	10	1	236	1251	0	879
500	10	1	182	1255	0	984
750	10	1	125	1296	0	969.9
1000	10	1	92.81	1425	0	1023
1	1	3	0.973	0	0	0.166
250	1	3	154	939	1	19
500	1	3	204	1319	1	2.48
750	1	3	228	1679	1	2.73
1000	1	3	263.8	1890	1	5.85
1	5	3	0.935	6.034	0	0.128
500	5	3	495	2494	0.84	83.42
750	5	3	618	3255	1	375
1000	5	3	688	3925	0.98	696
250	5	3	238	1236	0	3.6
1	10	3	0.969	9.142	9.142	9.142
250	10	3	247	1222	0	3.48
500	10	3	465	2305	0	68.58
750	10	3	717	3820	0.1	841.5
1000	10	3	836	4325	0.57	1010
1	1	5	0.933	0.189	0	0.089
250	1	5	153	948	1	0.36
500	1	5	201	1208	1	0.73
750	1	5	234	1686	1	0.97
1000	1	5	255	2187	1	1
1	5	5	0.986	0.64	0	0.129
500	5	5	470	2455	0	5.07
250	5	5	240	1209	0	1.19
1000	5	5	695	4068	1	23.23
750	5	5	602	3349	1	21.3
1	10	5	0.976	1.791	0	0.119
250	10	5	240	1209	0	1.2
500	10	5	496	2283	0	6.28
750	10	5	698	3643	0.12	38
1000	10	5	969	4823	0.86	276
1	1	7	0.993	0	0	0.145
250	1	7	150.8	900.9	0.99	0.34
500	1	7	194	1307	1	0.47
1000	1	7	248	1848	0.98	0.63
750	1	7	231	1754	1	0.4
1	5	7	0.953	5.195	0	0.186
250	5	7	235	1127	0	0.6
500	5	7	486.4	2501	0.89	1.92
750	5	7	600	3270	1	4.22
1000	5	7	668	3814	0.99	5.9
1	10	7	0.949	7.009	0	0.093
250	10	7	246	1188	0	0.66
500	10	7	497	2410	0.004	2.4
750	10	7	699	4103	0.09	10
1000	10	7	956	5226	0.88	31.29
1	1	10	0.966	8	0	0.103
250	1	10	156.6	889.585	1	0.244
500	1	10	196	1338	1	0.34
750	1	10	228	1574	1	0.28
1000	1	10	262	2178	0.98	0.4
1	5	10	0.931	9.486	0	0.162
250	5	10	247.637	1060.4	0.046	0.543
500	5	10	482	2512	0.86	0.92
750	5	10	613	3505	1	1.58
1000	5	10	674.817	3903	0.99	2.05
1	10	10	0.996	2.516	0	0.136
250	10	10	248.792	1240.439	0	0.47
500	10	10	472	2471	0	0.95
750	10	10	702.173	3778.3	0.1	2.14
1000	10	10	966	5071	0.88	2.27
