C	AP	S	thetha	PPS	CPS	d
1	4	1	0.98	3.804	0	0.169
20	4	1	19.882	108.279	0	0.289
40	4	1	39.569	201.483	0	0.743
60	4	1	59.614	326.931	0	1.227
80	4	1	79.104	417.604	0	3.606
100	4	1	94.358	465.894	0	4.879
120	4	1	119.639	602.152	0	14.786
140	4	1	131.258	687.051	0.001	21.704
160	4	1	150.682	732.693	0.002	49.164
180	4	1	176.472	979.781	0.003	93.396
200	4	1	192.692	1105.392	0.005	267.411
220	4	1	219.03	1099.029	0.011	612.775
240	4	1	223.603	1170.999	0.016	731.936
260	4	1	244.148	1279.774	0.028	896.661
280	4	1	277.04	1292.108	0.063	943.276
300	4	1	280.008	1400.521	0.103	980.431
320	4	1	284	1691.402	0.116	979.546
340	4	1	272.596	1401.478	0.096	984.894
360	4	1	257.527	1434.759	0.06	985.422
380	4	1	238.237	1358.126	0.056	1009.696
400	4	1	233.304	1301.775	0.042	1004.532
420	4	1	219.648	1378.584	0.032	995.395
440	4	1	204.787	1232.428	0.031	1031.489
460	4	1	207.977	1217.048	0.033	1003.062
480	4	1	192.893	1121.645	0.027	1014.002
500	4	1	179.029	1113.786	0.026	1004.435
520	4	1	184.407	1434.039	0.024	1004.672
560	4	1	171.115	1227.563	0.024	992.133
540	4	1	171.199	1278.409	0.023	976.54
580	4	1	156.469	1285.463	0.025	1030.913
600	4	1	159.942	1306.057	0.023	975.158
620	4	1	144.725	1339.509	0.028	1000.538
640	4	1	141.001	1250.026	0.022	981.354
660	4	1	136.035	1227.657	0.022	997.888
680	4	1	138.801	1283.471	0.025	997.359
700	4	1	137.103	1243.941	0.023	995.532
720	4	1	124.139	1211.196	0.022	999.87
740	4	1	129.156	1315.708	0.026	986.647
760	4	1	118.995	1237.456	0.022	1015.012
780	4	1	122.455	1322.14	0.027	986.244
800	4	1	114.819	1317.564	0.026	988.553
820	4	1	110.895	1402.255	0.028	1022.8
840	4	1	111.057	1207.273	0.03	1015.355
1000	4	1	89.851	1362.976	0.049	994.933
860	4	1	111.001	1329.144	0.03	989.707
880	4	1	107.171	1249.352	0.034	999.617
900	4	1	104.625	1227.468	0.035	989.261
920	4	1	103.82	1352.031	0.039	1014.404
940	4	1	96.137	1394.731	0.045	1025.484
960	4	1	93.552	1381.121	0.038	1004.976
980	4	1	93.689	1162.461	0.053	1001.176
