C	AP	S	thetha	PPS	CPS	d
1	10	1	0.954	4.379	0	0.118
20	10	1	19.734	121.418	0	0.331
40	10	1	37.861	190.247	0	0.481
60	10	1	58.425	204.159	0	1.101
80	10	1	79.77	375.465	0	3.485
100	10	1	99.489	437.844	0	6.851
120	10	1	118.95	576.646	0	13.641
140	10	1	133.395	754.453	0	27.648
180	10	1	176.56	844.271	0	86.208
160	10	1	157.245	850.06	0	45.775
200	10	1	190.746	1011.848	0	291.111
220	10	1	206.263	1179.998	0	497.638
240	10	1	239.748	1062.97	0	749.091
260	10	1	249.972	1263.779	0	848.333
280	10	1	268.475	1492.901	0	905.834
300	10	1	280.743	1562.151	0	943.208
320	10	1	285.66	1451.826	0.001	948.949
340	2	1	249.669	1411.878	1	877.661
360	2	1	271.794	1206.682	1	930.44
380	2	1	270.928	1562.016	0.99	968.107
400	2	1	272.644	1453.32	0.993	920.023
420	2	1	278.004	1739.301	0.971	1003.323
440	2	1	296.797	1509.565	0.985	973.802
460	10	1	194.523	1269.844	0	1013.736
480	10	1	199.69	1187.899	0	1038.642
500	10	1	186.065	1433.255	0	1019.896
520	1	1	206.43	1319.965	1	334.437
540	1	1	211.448	1399.715	1	480.21
560	1	1	204.182	1302.989	1	477.518
580	1	1	217.08	1627.332	1	563.326
600	1	1	206.732	1372.687	1	605.723
620	1	1	220.216	1314.058	1	697.209
640	1	1	221.821	1360.037	1	602.113
660	1	1	214.733	1635.937	1	611.954
680	1	1	219.375	1557.944	1	702.335
700	1	1	231.574	1648.185	1	717.327
720	1	1	236.663	1664.315	1	818.14
740	1	1	223.639	1656.161	1	809.041
760	1	1	241.19	1894.144	1	802.286
780	1	1	241.034	1885.008	0.996	711.666
800	1	1	229.42	1752.292	1	862.01
820	1	1	234.415	1688.597	0.983	830.725
840	1	1	245.579	1825.727	0.995	847.843
1000	1	1	254.959	2043.828	0.987	924.519
860	1	1	251.725	1857.84	0.996	866.493
880	1	1	242.164	1947.311	0.982	898.372
900	1	1	254.639	1943.957	0.997	842.366
920	1	1	255.573	2120.284	1	944.159
940	1	1	244.904	2054.047	1	935.509
960	1	1	249.68	1947.297	1	896.97
980	1	1	250.413	2191.486	1	938.74
