C	AP	S	thetha	PPS	CPS	d
1	8	1	0.955	5.192	0	0.171
20	8	1	19.411	103.577	0	0.357
40	8	1	39.852	198.173	0	0.554
60	8	1	56.497	268.121	0	1.202
80	8	1	75.582	289.378	0	3.216
100	8	1	97.634	553.224	0	9.019
120	8	1	118.446	626.054	0	14.637
140	8	1	134.365	836.028	0	33.299
180	8	1	176.27	863.459	0	112.816
160	8	1	155.016	739.39	0	70.839
200	8	1	187.722	886.382	0	255.155
220	8	1	211.083	1080.474	0	472.496
240	8	1	237.379	1293.66	0.001	747.725
260	8	1	246.386	1297.071	0.001	917.608
280	8	1	269.2	1417.662	0.001	928.864
300	8	1	295.401	1597.469	0.001	979.297
320	8	1	296.234	1448.419	0.001	995.936
340	8	1	267.056	1492.5	0.001	970.756
360	8	1	260.33	1416.699	0.001	990.95
380	8	1	238.237	1305.638	0.001	1032.192
400	8	1	233.372	1314.338	0.001	1040.877
420	8	1	224.885	1205.344	0.001	1016.836
440	8	1	212.844	1373.701	0.001	981.231
460	8	1	200.387	1302.769	0.001	1012.524
480	8	1	196.565	1316.915	0.001	1006.202
500	8	1	184.948	1295.058	0.001	1015.246
520	8	1	178.521	1320.216	0.001	1009.997
560	8	1	163.391	1265.59	0.001	1021.165
540	8	1	167.324	1138.045	0.001	1012.317
580	8	1	155.936	1202.917	0	1009.805
600	8	1	156.299	1339.466	0.001	1020.435
620	8	1	147.416	1313.333	0.001	996.138
640	8	1	148.548	1267.283	0.001	1025.564
660	8	1	141.549	1208.105	0.001	999.568
680	8	1	138.93	1253.077	0.001	1026.841
700	8	1	136.776	1276.037	0.001	995.546
720	8	1	126.362	1382.044	0.001	1005.198
740	8	1	128.129	1092.705	0.001	967.872
760	8	1	123.996	1233.413	0	1001.936
780	8	1	115.978	1200.225	0.001	1010.108
800	8	1	114.012	1201.612	0.001	1019.377
820	8	1	116.17	1370.807	0.001	994.37
840	8	1	113.396	1223.162	0.001	1009.113
1000	8	1	90.53	1416.819	0.001	1031.6
860	8	1	106.644	1291.966	0.001	988.69
880	8	1	102.378	1210.523	0.001	1004.548
900	8	1	100.492	1215.528	0.001	991.606
920	8	1	104.062	1380.054	0.001	1007.587
940	8	1	99.543	1317.731	0.001	995.581
960	8	1	96.439	1421.12	0.001	976.531
980	8	1	97.011	1451.478	0.001	997.861
